Year,GDP Growth (%),Inflation Rate (%),Interest Rate (%),Exchange Rate (USD/INR),Fiscal Deficit (% of GDP),Exports (Billion USD),Imports (Billion USD),FDI (Billion USD),Money Supply (M3) Growth (%),Bank Credit Growth (%),Unemployment Rate (%),Private Consumption (% of GDP),Fixed Capital Formation (% of GDP),Trade Balance (Billion USD),^NSEI Close Price,^BSESN Close Price,CCI,Manufacturing PMI,"Government expenditure, percent of GDP (% of GDP)",Agricultural Export Volume,Crop Production Index,Banking Credit Growth,Foreign Exchange Reserves,Crude Oil Price,GDP (Billions of US $),Per Capita (US $),"Agriculture, Forestry & Fishing",Manufacturing,Hospitality,Business Services
1980,6.735821529,11.34607348,4.476508261,7.862944701,5.55,11439738400.0,17226125073.0,79159999.9,19.5,20.54345895,2.8,72.3,19.67624017,-5786386673.0,6138.600098,3658.97998,102.1308833,56.3,17.47979927,4.99806594,35.62,20.54345895,12009788667.0,26.79999924,31.21446382,16.7524,35.7,13.9,11.8,8.1
1981,6.006203626,13.1125469,5.118236741,8.658522817,5.7,11485699151.0,16584605960.0,91920000.0,16.7,21.22546245,2.8,71.8,19.86725387,-5098906809.0,6138.600098,3658.97998,102.1308833,56.3,16.61829948,4.119368054,38.34,21.22546245,8108837891.0,26.79999924,32.44936111,16.7704,35.3,14.3,11.8,8.3
1982,3.47573324,7.890742794,7.774707244,9.455131933,6.1,12009417677.0,16343526469.0,72079999.9,14.2,22.68789892,2.8,71.5,21.01451313,-4334108792.0,6138.600098,3658.97998,102.1308833,56.3,17.75460052,3.437193435,37.32,22.68789892,8241561693.0,26.79999924,32.85713963,16.37,34.2,14.3,12.2,8.9
1983,7.288892903,11.8680813,7.320986685,10.09889824,6.5,12741335281.0,17140048793.0,5639999.9,17.4,22.89266876,2.8,71.2,20.56906776,-4398713512.0,6138.600098,3658.97998,102.1308833,56.3,17.83390045,3.521329859,42.12,22.89266876,8215732399.0,26.79999924,36.3721965,16.6645,35.0,14.7,11.9,9.0
1984,3.820737856,8.318907119,7.94709992,11.36258333,7.0,13330716432.0,16391245675.0,19239999.9,17.0,24.28257464,2.8,70.9,20.85042847,-3060529243.0,6138.600098,3658.97998,102.1308833,56.3,19.80500031,2.678959429,42.71,24.28257464,8535944481.0,26.79999924,35.44688268,16.7078,34.2,14.7,11.9,9.3
1985,5.254299223,5.556424232,8.681673585,12.36875,7.5,12217447522.0,17776627208.0,106090000.0,16.2,24.56366516,2.8,70.5,21.80329777,-5559179686.0,6138.600098,3658.97998,102.1308833,56.3,21.55699921,2.838065918,43.34,24.56366516,9493102974.0,26.79999924,38.17377698,16.418,32.9,14.5,12.4,9.8
1986,4.776564168,8.729720727,9.093224145,12.61083333,8.13,12937864154.0,17486411450.0,117730000.0,16.4,25.8010011,2.8,70.1,22.90091499,-4548547296.0,6138.600098,3658.97998,102.1308833,56.3,23.22809982,3.504372219,43.12,25.8010011,10480102588.0,26.79999924,40.3894717,16.2216,31.4,14.7,12.6,10.4
1987,3.965355635,8.801125813,6.560180094,12.9615,7.8,15638662914.0,19477194741.0,212319999.9,16.7,25.38235951,2.8,69.8,24.44362326,-3838531827.0,6138.600098,3658.97998,102.1308833,56.3,22.51980019,2.789864176,42.34,25.38235951,11511740599.0,26.79999924,45.23008653,16.2095,29.9,15.0,12.7,10.8
1988,9.627782916,9.383471862,7.638632996,13.91708333,7.5,17899838409.0,22111443193.0,91250000.0,18.0,25.27511744,2.8,69.4,23.57197889,-4211604784.0,6138.600098,3658.97998,102.1308833,56.3,24.45734181,1.97400603,47.62,25.27511744,9185839447.0,26.79999924,47.75548922,16.1015,31.3,14.8,12.3,10.8
1989,5.947343332,7.074280029,7.435843248,16.2255,7.3,20770696112.0,24133353522.0,252099999.9,19.4,26.58981401,2.8,69.0,24.57681356,-3362657410.0,6138.600098,3658.97998,102.1308833,56.3,25.23399758,2.140529509,50.89,26.58981401,8048455918.0,26.79999924,50.039532,16.9028,29.9,15.2,12.5,11.4
1990,5.533454561,8.971232503,5.269526998,17.5035,7.61,22639774912.0,27132072318.0,6000000.0,17.0,24.91645657,2.8,68.7,26.08217017,-4492297406.0,6138.600098,3658.97998,102.1308833,56.3,25.37149754,4.050730741,50.83,24.91645657,5637446364.0,26.79999924,53.27480347,16.5976,29.5,15.1,12.5,11.5
1991,1.056831435,13.87024618,3.624716596,22.74243333,5.91,22943398073.0,22941358805.0,73537638.39,18.4,23.82174445,7.722,68.3,24.58433379,2039268.147,6138.600098,3658.97998,102.1308833,56.3,26.80147855,2.007664016,53.31,23.82174445,7615987475.0,26.79999924,42.3424161,15.6763,28.5,14.5,12.4,12.6
1992,5.48239602,11.78781704,9.132749406,25.91808333,5.39,25486029047.0,27639649994.0,276512439.0,18.0,24.69824025,7.733,67.9,25.08949989,-2153620947.0,6138.600098,3658.97998,102.1308833,56.3,26.22926192,1.595791889,55.62,24.69824025,9538786025.0,26.79999924,45.53918024,15.8008,28.9,14.2,12.4,12.6
1993,4.750776218,6.326890488,5.814776512,30.49329167,6.77,27466541463.0,27419354119.0,550370024.9,18.4,23.83205539,7.75,67.5,23.66775629,47187344.15,6138.600098,3658.97998,102.1308833,56.3,25.74205238,1.971955088,56.97,23.83205539,14674627090.0,26.79999924,44.45189142,15.9157,28.2,14.6,12.6,13.2
1994,6.65892407,10.24793556,4.337109738,31.3737425,5.72,32361214431.0,33349501148.0,973271468.7,22.4,23.6473414,7.645,67.1,23.35888821,-988286716.3,6138.600098,3658.97998,102.1308833,56.3,25.75625289,1.192329034,58.87,23.6473414,24220928469.0,26.79999924,54.86480683,16.7641,27.8,15.2,13.1,12.9
1995,7.574491838,10.22488616,5.864178109,32.42707667,5.13,39068855118.0,43318425768.0,2143628110.0,13.5,22.5107747,7.608,66.7,25.1369225,-4249570650.0,6138.600098,3658.97998,102.1308833,56.3,24.54938513,1.294169639,59.98,22.5107747,22864636916.0,26.79999924,64.3674277,17.8659,25.7,16.4,14.0,13.0
1996,7.549522249,8.977152338,7.7929943,35.43317333,4.71,40803004618.0,45357266003.0,2426057022.0,16.6,23.40244204,7.558,66.3,24.52478712,-4554261385.0,6138.600098,3658.97998,102.1308833,56.3,23.94404158,2.53330323,62.3,23.40244204,24889364657.0,26.79999924,69.13547157,17.5963,26.2,16.6,14.0,12.8
1997,4.04982085,7.164252115,6.909578995,36.31328583,4.77,44459225643.0,49607467421.0,3577330042.0,17.0,23.55532535,7.61,65.9,25.35005215,-5148241779.0,6138.600098,3658.97998,102.1308833,56.3,24.79637299,2.004065612,63.54,23.55532535,28385372946.0,26.79999924,68.69541007,16.5186,24.5,15.9,14.5,13.7
1998,6.184415822,13.23083898,5.121276329,41.259365,6.29,46426465025.0,53431564328.0,2634651658.0,18.0,23.67774686,7.639,65.5,25.45876778,-7005099303.0,6138.600098,3055.409912,102.1308833,56.3,25.58571776,1.656051057,64.47,23.67774686,30646563663.0,26.79999924,66.23354509,15.7193,24.4,15.4,14.6,13.9
1999,8.845755559,4.66982038,9.191247322,43.05542833,5.4,52544483403.0,61314704757.0,2168591054.0,14.6,25.42286221,7.617,65.1,27.53509242,-8770221354.0,6138.600098,5005.819824,102.1308833,56.3,25.40422838,1.418164661,67.39,25.42286221,36005295926.0,26.79999924,69.65149834,15.1805,23.2,15.0,14.5,14.5
2000,3.840991157,4.00943591,8.342610831,44.941605,5.74,60878472821.0,65124245375.0,3584217307.0,15.3,28.33955116,7.624,64.7,26.02178485,-4245772554.0,6138.600098,3972.120117,102.1308833,56.3,25.63605208,1.259280514,65.87,28.33955116,41059061575.0,26.79999924,74.60146255,15.927,22.3,15.5,14.6,14.4
2001,4.823966266,3.779293122,8.591449296,47.18641417,6.24,60963415577.0,65218276482.0,5128093562.0,14.4,28.61941543,7.653,64.3,29.93230964,-4254860905.0,6138.600098,3262.330078,100.8441333,56.3,27.78837908,1.139468415,67.61,28.61941543,49050841139.0,19.84000015,74.30642542,15.307,22.4,15.0,15.2,14.5
2002,3.803975321,4.297152039,7.907177189,48.61031917,5.91,73452895952.0,78498759286.0,5208967106.0,14.7,32.30648907,7.753,63.9,28.33252481,-5045863334.0,6138.600098,3377.280029,100.6184725,56.3,28.613299,1.062795774,60.85,32.30648907,71607865094.0,31.20000076,80.11784491,15.5587,20.1,15.4,15.7,15.0
2003,7.860381476,3.805858995,7.30788116,46.58328417,4.28,90838575244.0,95071869379.0,3681984671.0,16.7,31.62626562,7.68,63.5,28.33482571,-4233294135.0,6138.600098,5838.959961,100.1755617,56.3,29.42573808,1.07983395,68.92,31.62626562,104000000000.0,32.52000046,94.72465579,15.5874,20.3,15.2,16.0,14.6
2004,7.922936612,3.767251735,4.910128303,45.31646667,3.88,127000000000.0,139000000000.0,5429250990.0,12.0,36.19180385,7.625,63.1,30.70814142,-12662376777.0,6138.600098,6602.689941,100.817625,56.3,27.95920009,1.203884513,67.18,36.19180385,132000000000.0,43.45000076,112.2393451,15.8272,19.0,15.3,16.1,14.7
2005,7.923430621,4.24634362,4.855145172,44.099975,4.0,161000000000.0,184000000000.0,7269407226.0,15.0,40.06798048,7.552,62.8,32.75533704,-22898356563.0,6138.600098,9397.929688,100.6498667,56.3,26.43071772,1.267759317,71.11,40.06798048,138000000000.0,61.04000092,131.0400384,15.973,18.3,15.3,16.5,15.1
2006,8.060732572,5.796523376,2.570606702,45.30700833,3.32,200000000000.0,230000000000.0,20029119267.0,19.0,43.62775243,7.552,62.5,33.58489158,-29981104764.0,6138.600098,13786.91016,100.8563,57.5,26.6585538,1.717875054,75.28,43.62775243,178000000000.0,61.04999924,162.6993116,17.3037,17.4,16.0,16.7,15.7
2007,7.660815067,6.372881356,5.681844065,41.34853333,2.54,253000000000.0,303000000000.0,25227740887.0,22.0,45.62776475,7.561,62.2,35.81287812,-49726426539.0,6138.600098,20286.99023,100.7176325,58.7,26.46690464,1.98294426,82.22,45.62776475,277000000000.0,95.98000336,205.1973414,16.8646,16.8,16.1,16.8,16.1
2008,3.086698059,8.349267049,3.77175625,43.50518333,2.54,289000000000.0,351000000000.0,43406277076.0,19.3,49.55936669,7.656,61.9,34.71795935,-62024910978.0,2959.149902,9647.30957,98.04744583,55.0,28.69003936,1.735405893,82.72,49.55936669,257000000000.0,44.59999847,204.9951732,17.0987,15.8,15.8,16.6,16.9
2009,7.861888833,10.88235294,4.808592108,48.40526667,6.14,274000000000.0,347000000000.0,35581372930.0,17.0,48.12444791,7.664,61.6,33.95162693,-73425843079.0,5201.049805,17464.81055,98.31609583,53.5,28.05205601,1.289737668,79.77,48.12444791,285000000000.0,79.36000061,230.0476144,17.1436,14.6,16.2,16.5,17.1
2010,8.497584702,11.98938992,-1.983859221,45.72581212,6.46,375000000000.0,450000000000.0,27396885034.0,16.9,50.55537498,7.652,61.3,33.23001467,-74620856173.0,6134.5,20509.08984,99.32295583,57.8,27.44729154,2.226258613,87.88,50.55537498,300000000000.0,91.37999725,285.3562212,17.0299,14.6,16.2,17.0,17.3
2011,5.241316199,8.911793365,1.317980862,46.67046667,4.89,447000000000.0,567000000000.0,36498654598.0,15.9,51.28923313,7.616,61.0,34.31341665,-119000000000.0,4624.299805,15454.91992,98.70659917,55.3,27.64058169,2.481955129,94.21,51.28923313,299000000000.0,98.83000183,294.2284866,16.1393,14.4,16.3,16.1,18.0
2012,5.456387552,9.478996914,2.473520489,53.43723333,4.48,448000000000.0,571000000000.0,23995685014.0,13.5,51.88850765,7.666,60.8,33.43693433,-123000000000.0,5905.100098,19426.71094,98.85213833,54.5,27.36385502,4.096087344,95.63,51.88850765,300000000000.0,91.81999969,289.0760305,15.8169,13.9,15.8,16.1,19.1
2013,6.386106401,10.01787847,3.865992863,58.59784542,4.48,472000000000.0,528000000000.0,28153031270.0,13.6,52.38570952,7.711,60.6,31.29580085,-55375035766.0,6304.0,21170.67969,99.3881475,51.0,26.5999481,2.829939,100.02,52.38570952,298000000000.0,98.41999817,283.2061529,15.253,13.9,14.9,26.4,20.6
2014,7.410227605,6.665656719,6.69517609,61.02951446,4.1,468000000000.0,529000000000.0,34576643694.0,10.9,51.88218736,7.674,60.4,30.08023706,-60893612908.0,8282.700195,27499.41992,99.94242583,52.5,26.22044208,2.170947842,101.33,51.88218736,325000000000.0,53.27000046,307.2060294,15.0656,13.9,14.9,26.4,20.6
2015,7.996253786,4.906973441,7.556488414,64.15194446,3.9,417000000000.0,465000000000.0,44009492130.0,10.1,51.86752408,7.631,60.2,28.73314413,-48309654578.0,7946.350098,26117.53906,100.5531583,52.3,27.05897449,1.773604652,97.64,51.86752408,353000000000.0,37.04000092,327.8201511,15.5839,13.9,14.9,26.4,20.6
2016,8.256305502,4.948216341,6.232711415,67.19531281,3.5,440000000000.0,480000000000.0,44458571546.0,10.1,49.10122542,7.601,60.0,28.18843788,-40526477692.0,8185.799805,26626.46094,100.4425417,52.4,27.23284354,1.5373233,101.03,49.10122542,362000000000.0,53.72000122,347.9425455,15.1622,13.9,14.9,26.4,20.6
2017,6.795383419,3.328173375,5.327608862,65.12156865,3.5,498000000000.0,582000000000.0,39966091359.0,10.5,48.7940214,7.618,59.8,28.17781362,-83759204290.0,10530.7002,34056.82813,100.8830417,51.2,26.23166259,1.514842546,107.28,48.7940214,413000000000.0,60.41999817,398.2047352,15.0182,13.9,14.9,26.4,20.6
2018,6.453851345,3.938826467,5.36166639,68.38946709,3.4,539000000000.0,640000000000.0,42117450737.0,10.2,50.33816275,7.652,59.6,29.46306815,-102000000000.0,10862.5498,36068.32813,101.0799,53.2,26.32766503,1.56952574,110.84,50.33816275,399000000000.0,45.40999985,402.2373035,14.8815,13.9,14.9,26.4,20.6
2019,3.871436941,3.729505735,6.894875427,70.42034054,3.4,529000000000.0,602000000000.0,50610647354.0,10.5,50.74246174,6.51,59.4,28.45454433,-73069992885.0,12168.4502,41253.73828,100.7387917,52.5,26.84583755,1.146454126,112.25,50.74246174,463000000000.0,61.06000137,381.5537211,13.4558,13.9,14.9,26.4,20.6
2020,6.780514716499999,6.623436776,4.135999578,74.09956688,9.17,500000000000.0,510000000000.0,64362364994.0,12.2,54.50529025,7.859,59.2,27.32432137,-10516218300.0,13981.75,47751.32813,98.82693917,49.6,31.05705449,1.336846823,115.74,54.50529025,590000000000.0,48.52000046,377.7020255,14.1205,13.9,14.9,26.4,20.6
2021,9.689592492,5.131407472,0.316945144,73.91801282,6.91,678000000000.0,761000000000.0,44727277563.0,12.8,50.14215814,6.38,59.0,29.57803452,-83133636377.0,17354.05078,58253.82031,99.82691417,53.8,29.4745905,1.469019953,120.63,50.14215814,638000000000.0,75.20999908,455.3594114,14.377,13.9,14.9,26.4,20.6
2022,6.987039326,6.699034141,1.704610929,78.60449058,6.44,778000000000.0,898000000000.0,49940258404.0,12.8,50.14215814,4.822,58.8,30.74986208,-120000000000.0,18105.30078,60840.73828,97.32029583,55.5,28.62186963,0.942789379,123.29,50.14215814,567000000000.0,80.26000214,440.0584171,13.1225,13.9,14.9,26.4,20.6
2023,8.152936311,5.649143189,1.704610929,82.59927645,5.63,779000000000.0,859000000000.0,28078983530.0,12.8,50.14215814,4.172,58.8,30.83397927,-79393265768.0,21731.40039,72240.25781,98.2279075,56.7,28.62186963,0.822662154,123.29,50.14215814,628000000000.0,71.65000153,455.7666276,12.8388,13.9,14.9,26.4,20.6
2024,8.152936311,5.649143189,1.704610929,82.59927645,5.63,779000000000.0,859000000000.0,28078983530.0,12.8,50.14215814,4.172,58.8,30.83397927,-79393265768.0,21731.40039,72240.25781,98.2279075,56.7,28.62186963,0.822662154,123.29,50.14215814,628000000000.0,71.65000153,455.7666276,12.8388,13.9,14.9,26.4,20.6
